Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,NH4-N mg/L,NO3-N mg/L,Cl mg/L,FNU,TSS mg/L,BGA-PC RFU,BGA-PC ug/L,BGA-PE RFU,BGA-PE ug/L,Chl RFU,Chl ug/L,fDOM RFU,fDOM QSU,DEP m
5/30/2018,11:57:51,29.365,734.7,109.3,8.35,164.7,8.4,,,,1.7,0,-0.505,-0.5,,,0.781,2.81,,,0
5/30/2018,11:57:53,29.388,734.7,111.5,8.51,164.7,8.43,,,,1.55,0,-0.408,-0.41,,,0.709,2.56,,,0.002
5/30/2018,11:57:55,29.407,734.7,113.1,8.64,164.6,8.44,,,,1.45,0,-0.374,-0.37,,,0.61,2.21,,,0.006
5/30/2018,11:57:57,29.414,734.7,114.2,8.71,164.7,8.45,,,,1.39,0,-0.363,-0.36,,,0.588,2.14,,,0.01
5/30/2018,11:57:59,29.416,734.7,114.9,8.77,164.8,8.45,,,,1.35,0,-0.372,-0.37,,,0.568,2.07,,,0.015
5/30/2018,11:58:01,29.423,734.7,115.6,8.82,164.7,8.46,,,,1.31,0,-0.368,-0.37,,,0.586,2.13,,,0.02
5/30/2018,11:58:03,29.428,734.7,116.1,8.86,164.7,8.46,,,,1.25,0,-0.373,-0.37,,,0.599,2.17,,,0.026
5/30/2018,11:58:05,29.435,734.8,116.8,8.91,164.7,8.47,,,,1.19,0,-0.369,-0.37,,,0.616,2.23,,,0.031
5/30/2018,11:58:07,29.443,734.7,117.7,8.98,164.7,8.47,,,,1.13,0,-0.375,-0.37,,,0.639,2.32,,,0.037
5/30/2018,11:58:09,29.446,734.7,118.4,9.03,164.7,8.47,,,,1.11,0,-0.379,-0.38,,,0.668,2.42,,,0.043
5/30/2018,11:58:11,29.453,734.7,118.9,9.07,164.7,8.48,,,,1.11,0,-0.393,-0.39,,,0.673,2.43,,,0.049
5/30/2018,11:58:13,29.461,734.7,119.2,9.09,164.7,8.48,,,,1.09,0,-0.401,-0.4,,,0.667,2.41,,,0.06
5/30/2018,11:58:15,29.466,734.6,119.5,9.11,164.8,8.49,,,,1.1,0,-0.4,-0.4,,,0.654,2.37,,,0.078
5/30/2018,11:58:17,29.469,734.8,119.7,9.13,164.8,8.49,,,,1.11,0,-0.395,-0.39,,,0.653,2.36,,,0.102
5/30/2018,11:58:19,29.47,734.7,119.9,9.15,164.9,8.49,,,,1.11,0,-0.401,-0.4,,,0.646,2.34,,,0.13
5/30/2018,11:58:21,29.47,734.7,120.2,9.16,165,8.5,,,,1.14,0,-0.402,-0.4,,,0.652,2.36,,,0.166
5/30/2018,11:58:23,29.47,734.7,120.3,9.18,165,8.5,,,,1.13,0,-0.412,-0.41,,,0.665,2.41,,,0.206
5/30/2018,11:58:25,29.465,734.7,120.4,9.18,165,8.5,,,,1.13,0,-0.411,-0.41,,,0.692,2.5,,,0.253
5/30/2018,11:58:27,29.457,734.7,120.5,9.19,165,8.5,,,,1.14,0,-0.42,-0.42,,,0.716,2.58,,,0.3
5/30/2018,11:58:29,29.449,734.8,120.6,9.2,165,8.5,,,,1.14,0,-0.419,-0.42,,,0.727,2.62,,,0.356
5/30/2018,11:58:31,29.441,734.7,120.7,9.21,165,8.51,,,,1.13,0,-0.412,-0.41,,,0.73,2.63,,,1.08
5/30/2018,11:58:33,29.434,734.7,120.7,9.21,165,8.51,,,,1.14,0,-0.402,-0.4,,,0.748,2.7,,,1.085
5/30/2018,11:58:35,29.425,734.7,120.7,9.21,165,8.51,,,,1.1,0,-0.395,-0.39,,,0.747,2.69,,,1.089
5/30/2018,11:58:37,29.42,734.8,120.8,9.22,165,8.52,,,,1.1,0,-0.399,-0.4,,,0.76,2.74,,,1.089
5/30/2018,11:58:39,29.415,734.7,120.8,9.22,165,8.52,,,,1.11,0,-0.389,-0.39,,,0.744,2.68,,,1.093
5/30/2018,11:58:41,29.413,734.7,120.9,9.23,165,8.53,,,,1.09,0,-0.39,-0.39,,,0.756,2.72,,,1.1
5/30/2018,11:58:43,29.411,734.7,120.9,9.23,165,8.54,,,,1.07,0,-0.388,-0.39,,,0.753,2.71,,,1.113
5/30/2018,11:58:45,29.41,734.7,121,9.24,165,8.54,,,,1.06,0,-0.366,-0.37,,,0.772,2.78,,,1.128
5/30/2018,11:58:47,29.409,734.7,121,9.24,165,8.55,,,,1.06,0,-0.351,-0.35,,,0.781,2.81,,,1.145
5/30/2018,11:58:49,29.408,734.8,121.1,9.24,165,8.55,,,,1.08,0,-0.355,-0.36,,,0.785,2.83,,,1.161
5/30/2018,11:58:51,29.406,734.7,121.1,9.24,165,8.56,,,,1.08,0,-0.346,-0.35,,,0.808,2.91,,,1.178
5/30/2018,11:58:53,29.403,734.7,121.1,9.24,165,8.57,,,,1.08,0,-0.354,-0.35,,,0.855,3.07,,,1.191
5/30/2018,11:58:55,29.399,734.8,121.1,9.24,165,8.57,,,,1.07,0,-0.356,-0.36,,,0.861,3.09,,,1.208
5/30/2018,11:58:57,29.394,734.7,121,9.24,165.1,8.58,,,,1.09,0,-0.362,-0.36,,,0.837,3.01,,,1.224
5/30/2018,11:58:59,29.39,734.9,121.1,9.24,165.1,8.58,,,,1.09,0,-0.366,-0.37,,,0.872,3.13,,,1.243
5/30/2018,11:59:01,29.382,734.7,121.1,9.25,165.1,8.58,,,,1.07,0,-0.356,-0.36,,,0.884,3.17,,,1.259
5/30/2018,11:59:03,29.371,734.7,121.1,9.25,165.1,8.59,,,,1.04,0,-0.356,-0.36,,,0.891,3.2,,,1.276
5/30/2018,11:59:05,29.352,734.8,121,9.25,165.1,8.59,,,,1.04,0,-0.362,-0.36,,,0.932,3.34,,,1.291
5/30/2018,11:59:07,29.303,734.8,121,9.25,165.2,8.59,,,,1.07,0,-0.374,-0.37,,,0.986,3.53,,,1.308
5/30/2018,11:59:09,29.238,734.7,120.9,9.25,165.3,8.6,,,,1.05,0,-0.364,-0.36,,,1.028,3.67,,,1.323
5/30/2018,11:59:11,29.166,734.8,120.7,9.25,165.4,8.6,,,,1.08,0,-0.378,-0.38,,,1.073,3.83,,,1.342
5/30/2018,11:59:13,29.099,734.7,120.6,9.25,165.4,8.6,,,,1.09,0,-0.37,-0.37,,,1.111,3.96,,,1.376
5/30/2018,11:59:15,29.015,734.6,120.5,9.26,165.4,8.61,,,,1.13,0,-0.366,-0.37,,,1.125,4.02,,,1.408
5/30/2018,11:59:17,28.928,734.7,120.3,9.26,165.5,8.61,,,,1.16,0,-0.358,-0.36,,,1.103,3.94,,,1.444
5/30/2018,11:59:19,28.854,734.8,120.3,9.27,165.4,8.61,,,,1.16,0,-0.353,-0.35,,,1.102,3.94,,,1.476
5/30/2018,11:59:21,28.795,734.8,120.2,9.27,165.4,8.61,,,,1.18,0,-0.341,-0.34,,,1.074,3.84,,,1.513
5/30/2018,11:59:23,28.741,734.7,120.2,9.28,165.3,8.61,,,,1.19,0,-0.351,-0.35,,,1.078,3.85,,,1.545
5/30/2018,11:59:25,28.688,734.7,120.2,9.29,165.3,8.61,,,,1.18,0,-0.335,-0.34,,,1.042,3.72,,,1.58
5/30/2018,11:59:27,28.643,734.7,120.1,9.29,165.2,8.62,,,,1.18,0,-0.332,-0.33,,,1.063,3.8,,,1.611
5/30/2018,11:59:29,28.609,734.7,120,9.29,165.2,8.62,,,,1.18,0,-0.331,-0.33,,,1.095,3.91,,,1.647
5/30/2018,11:59:31,28.576,734.8,119.9,9.29,165.1,8.62,,,,1.17,0,-0.325,-0.33,,,1.103,3.94,,,1.682
5/30/2018,11:59:33,28.542,734.6,119.8,9.28,165.2,8.62,,,,1.21,0,-0.317,-0.32,,,1.133,4.04,,,1.72
5/30/2018,11:59:35,28.462,734.7,119.5,9.27,165.3,8.62,,,,1.23,0,-0.308,-0.31,,,1.156,4.12,,,1.756
5/30/2018,11:59:37,28.377,734.8,119.1,9.25,165.5,8.61,,,,1.3,0,-0.301,-0.3,,,1.225,4.36,,,1.795
5/30/2018,11:59:39,28.285,734.7,118.6,9.23,165.7,8.61,,,,1.31,0,-0.299,-0.3,,,1.259,4.48,,,1.831
5/30/2018,11:59:41,28.153,734.7,118.1,9.21,165.9,8.6,,,,1.37,0,-0.283,-0.28,,,1.277,4.55,,,1.87
5/30/2018,11:59:43,28.006,734.8,117.6,9.19,166.2,8.6,,,,1.4,0,-0.279,-0.28,,,1.357,4.83,,,1.906
5/30/2018,11:59:45,27.862,734.8,117.1,9.18,166.4,8.59,,,,1.42,0,-0.252,-0.25,,,1.412,5.02,,,1.943
5/30/2018,11:59:47,27.651,734.6,116.5,9.16,166.7,8.44,,,,1.49,0,-0.229,-0.23,,,1.487,5.28,,,1.984
5/30/2018,11:59:49,26.479,734.6,116,9.34,170.1,8.41,,,,1.53,0,-0.212,-0.21,,,1.603,5.69,,,2.019
5/30/2018,11:59:51,26.967,734.7,110.4,8.8,168.2,8.39,,,,1.58,0,-0.184,-0.18,,,1.751,6.2,,,2.058
5/30/2018,11:59:53,26.404,734.7,108.3,8.69,169.4,8.37,,,,1.67,0,-0.151,-0.15,,,1.868,6.61,,,2.093
5/30/2018,11:59:55,26.033,734.7,107.2,8.68,169.8,8.35,,,,1.74,0,-0.125,-0.12,,,1.982,7.01,,,2.132
5/30/2018,11:59:57,25.885,734.7,106.8,8.68,169.3,8.33,,,,1.84,0,-0.096,-0.1,,,2.091,7.39,,,2.166
5/30/2018,11:59:59,25.787,734.7,106.2,8.64,168.8,8.32,,,,1.94,0,-0.057,-0.06,,,2.164,7.65,,,2.203
5/30/2018,12:00:01,25.71,734.7,105.6,8.61,168.2,8.18,,,,2.04,0,-0.024,-0.02,,,2.272,8.03,,,2.239
5/30/2018,12:00:03,25.65,734.8,105.2,8.59,167.5,8.14,,,,2.09,0,0.003,0,,,2.307,8.15,,,2.277
5/30/2018,12:00:05,25.464,734.8,101.6,8.32,167.5,8.12,,,,2.17,0,0.029,0.03,,,2.331,8.23,,,2.311
5/30/2018,12:00:07,25.351,734.7,100.9,8.27,167.4,8.11,,,,2.2,0,0.044,0.04,,,2.364,8.35,,,2.348
5/30/2018,12:00:09,25.241,734.7,100.1,8.23,167.5,8.09,,,,2.23,0,0.067,0.07,,,2.41,8.51,,,2.381
5/30/2018,12:00:11,25.117,734.7,99.5,8.19,167.6,8.08,,,,2.24,0,0.075,0.08,,,2.403,8.48,,,2.415
5/30/2018,12:00:13,24.997,734.7,99.1,8.18,167.7,7.96,,,,2.26,0,0.084,0.08,,,2.425,8.56,,,2.446
5/30/2018,12:00:15,24.857,734.6,98.4,8.14,167.8,7.91,,,,2.29,0,0.079,0.08,,,2.462,8.69,,,2.477
5/30/2018,12:00:17,24.719,734.7,93.8,7.79,167.8,7.88,,,,2.33,0,0.097,0.1,,,2.49,8.79,,,2.514
5/30/2018,12:00:19,24.597,734.7,91.8,7.64,167.8,7.84,,,,2.35,0,0.094,0.09,,,2.524,8.91,,,2.547
5/30/2018,12:00:21,24.47,734.7,90.3,7.53,167.8,7.82,,,,2.39,0,0.107,0.11,,,2.548,8.99,,,2.583
5/30/2018,12:00:23,24.37,734.7,89,7.43,167.7,7.79,,,,2.47,0,0.121,0.12,,,2.618,9.23,,,2.615
5/30/2018,12:00:25,24.275,734.7,83.7,7,167.6,7.77,,,,2.54,0,0.141,0.14,,,2.639,9.31,,,2.65
5/30/2018,12:00:27,24.18,734.7,82.2,6.89,167.5,7.66,,,,2.61,0,0.163,0.16,,,2.643,9.32,,,2.682
5/30/2018,12:00:29,24.082,734.7,80.5,6.76,167.4,7.62,,,,2.65,0,0.19,0.19,,,2.674,9.43,,,2.722
5/30/2018,12:00:31,23.968,734.7,79.2,6.67,167.3,7.61,,,,2.69,0,0.2,0.2,,,2.685,9.47,,,2.757
5/30/2018,12:00:33,23.837,734.7,74.4,6.27,167.3,7.59,,,,2.77,0,0.226,0.23,,,2.708,9.55,,,2.796
5/30/2018,12:00:35,23.706,734.7,72.5,6.13,167.2,7.57,,,,2.81,0,0.245,0.24,,,2.734,9.64,,,2.833
5/30/2018,12:00:37,23.538,734.7,71.4,6.05,167.4,7.55,,,,2.81,0,0.25,0.25,,,2.718,9.58,,,2.875
5/30/2018,12:00:39,23.333,734.7,70,5.96,167.6,7.54,,,,2.84,0,0.261,0.26,,,2.679,9.45,,,2.914
5/30/2018,12:00:41,22.033,734.7,65.3,5.7,171.4,7.53,,,,2.91,0,0.271,0.27,,,2.637,9.3,,,2.953
5/30/2018,12:00:43,21.94,734.7,62.9,5.5,171.1,7.42,,,,2.99,0,0.284,0.28,,,2.589,9.13,,,2.999
5/30/2018,12:00:45,22.065,734.8,61.1,5.33,170.2,7.4,,,,3.04,0,0.274,0.27,,,2.536,8.95,,,3.041
5/30/2018,12:00:47,21.996,734.8,55.8,4.88,170,7.38,,,,3.15,0,0.283,0.28,,,2.557,9.02,,,3.085
5/30/2018,12:00:49,21.821,734.7,52.5,4.6,170,7.36,,,,3.22,0,0.3,0.3,,,2.572,9.07,,,3.125
5/30/2018,12:00:51,21.61,734.7,50.2,4.42,169.9,7.35,,,,3.31,0,0.309,0.31,,,2.608,9.2,,,3.171
5/30/2018,12:00:53,20.332,734.6,48.3,4.37,173.4,7.34,,,,3.47,0,0.304,0.3,,,2.623,9.25,,,3.212
5/30/2018,12:00:55,19.662,734.7,42.2,3.87,174.6,7.32,,,,3.64,0,0.301,0.3,,,2.53,8.93,,,3.26
5/30/2018,12:00:57,19.845,734.7,38,3.46,172.6,7.31,,,,3.82,0,0.301,0.3,,,2.419,8.54,,,3.303
5/30/2018,12:00:59,19.494,734.8,35.4,3.25,172.3,7.3,,,,3.96,0,0.299,0.3,,,2.291,8.09,,,3.35
5/30/2018,12:01:01,19.209,734.7,30.1,2.78,171.8,7.29,,,,4.13,0,0.303,0.3,,,2.223,7.85,,,3.393
5/30/2018,12:01:03,17.596,734.7,27.4,2.6,176.3,7.19,,,,4.29,0,0.311,0.31,,,2.17,7.67,,,3.44
5/30/2018,12:01:05,17.488,734.6,26.4,2.52,175,7.17,,,,4.55,0,0.315,0.31,,,2.193,7.75,,,3.482
5/30/2018,12:01:07,17.069,734.6,25.3,2.43,175.7,7.16,,,,4.8,0,0.318,0.32,,,2.232,7.88,,,3.529
5/30/2018,12:01:09,17.078,734.7,24.2,2.34,174.3,7.16,,,,4.97,0,0.315,0.31,,,2.297,8.11,,,3.571
5/30/2018,12:01:11,17.092,734.6,19.5,1.88,172.6,7.15,,,,5.14,0,0.317,0.32,,,2.355,8.32,,,3.611
5/30/2018,12:01:13,17.059,734.7,17.9,1.73,171.3,7.14,,,,5.35,0,0.316,0.32,,,2.351,8.3,,,3.654
5/30/2018,12:01:15,16.963,734.6,17.1,1.65,170.3,7.13,,,,5.53,0,0.325,0.33,,,2.378,8.4,,,3.695
5/30/2018,12:01:17,16.873,734.7,16.4,1.59,169.5,7.12,,,,5.79,0,0.358,0.36,,,4.611,16.2,,,3.73
5/30/2018,12:01:19,16.786,734.7,15.8,1.53,168.8,7.11,,,,6.03,0,0.484,0.48,,,6.818,23.92,,,3.765
5/30/2018,12:01:21,16.619,734.6,15.3,1.49,168.6,7.1,,,,6.12,0,0.604,0.6,,,5.713,20.06,,,3.802
